Festival;year;Notes;Stage name;Main genre;genres on Spotify
end of the road festival;2012;;beach house;indie;alternative dance,alternative rock,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,noise pop,shimmer pop,stomp and holler,synthpop
Glastonbury;2014;;Arcade Fire;indie;alternative dance,alternative rock,canadian indie,canadian pop,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,permanent wave,rock,stomp and holler
Isle of Wight;2017;;Arcade Fire;indie;alternative dance,alternative rock,canadian indie,canadian pop,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,permanent wave,rock,stomp and holler
Latitude;2007;;Arcade Fire;indie;alternative dance,alternative rock,canadian indie,canadian pop,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,permanent wave,rock,stomp and holler
Reading;2010;;Arcade Fire;indie;alternative dance,alternative rock,canadian indie,canadian pop,chamber pop,dance-punk,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,permanent wave,rock,stomp and holler
Latitude;2010;;Vampire Weekend;indie;alternative dance,alternative rock,brooklyn indie,folk-pop,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,stomp and holler,synthpop
lovebox;2016;;lcd soundsystem;indie;alternative dance,alternative rock,brooklyn indie,chamber pop,dance-punk,electronic,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,new wave,synthpop
Wireless;2010;;lcd soundsystem;indie;alternative dance,alternative rock,brooklyn indie,chamber pop,dance-punk,electronic,garage rock,indie folk,indie pop,indie rock,indietronica,neo-psychedelic,new rave,new wave,synthpop
end of the road festival;2012;;grizzly bear;indie;alternative dance,alternative rock,brooklyn indie,chamber pop,chillwave,dream pop,folk-pop,freak folk,indie folk,indie pop,indie r&b,indie rock,indietronica,lo-fi,neo-psychedelic,new rave,new weird america,noise pop,shimmer pop,stomp and holler,synthpop
bestival;2012;;New Order;new wave;alternative dance,alternative rock,britpop,dance rock,electronic,indie rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk
Glastonbury;1981;;New Order;new wave;alternative dance,alternative rock,britpop,dance rock,electronic,indie rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk
Latitude;2016;;New Order;new wave;alternative dance,alternative rock,britpop,dance rock,electronic,indie rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk
